#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-54.919413,100,73.287026
-47.00522,100,73.331125
-51.938804,100,73.375041
-47.626965,100,73.421286
-55.879635,100,73.465557
-44.693487,100,73.510733
-46.7894,100,73.555373
-63.484372,100,73.600597
-55.37836,100,73.645093
-52.528907,100,73.689084
-46.099709,100,73.736733
-50.413901,100,73.783002
-45.175148,100,74.331064
-48.726693,100,74.375113
-59.996886,100,74.421379
-53.835161,100,74.465898
-54.8103,100,74.511791
-52.770234,100,74.555739
-48.436214,100,74.600394
-53.722882,100,74.646761
-45.825501,100,74.691028
-49.591114,100,74.736812
-49.723579,100,74.780096
-54.456007,100,74.824561
